Owner,Player,Position,Old Years Kept,New Years Kept,Draft Round,Keeper Cost,Eligible,Note
larrrl,Patrick Mahomes,QB,0,0,3,2,True,
larrrl,Gerald Everett,TE,0,0,9,8,False,Ineligible. Added after trade deadline.
larrrl,Kareem Hunt,RB,0,0,7,6,True,
larrrl,Courtland Sutton,WR,0,0,9,8,True,
larrrl,Deebo Samuel,WR,0,0,8,7,True,
larrrl,DeVonta Smith,WR,0,0,8,7,True,
larrrl,Jaylen Waddle,WR,0,0,8,7,True,
larrrl,Trey Sermon,RB,0,0,5,4,True,
larrrl,Kansas City Chiefs,DEF,0,0,14,13,False,Ineligible. Added after trade deadline.
gnemos,Robert Woods,WR,0,0,6,5,False,Ineligible. Added after trade deadline.
gnemos,Ben Roethlisberger,QB,0,0,9,8,False,Ineligible. Added after trade deadline.
gnemos,DeAndre Hopkins,WR,1,1,3,2,True,
gnemos,Cordarrelle Patterson,RB,0,0,9,8,True,Player not drafted. Set keeper cost to 8 round
gnemos,Sammy Watkins,WR,0,0,15,14,True,
gnemos,Matt Ryan,QB,0,0,9,8,True,Player not drafted. Set keeper cost to 8 round
gnemos,Jared Cook,TE,0,0,15,14,True,
gnemos,Corey Davis,WR,1,1,3,2,True,
gnemos,Kendrick Bourne,WR,0,0,9,8,True,Player not drafted. Set keeper cost to 8 round
gnemos,Sony Michel,RB,1,1,3,2,True,
gnemos,D'Ernest Johnson,RB,0,0,9,8,False,Ineligible. Added after trade deadline.
gnemos,Jalen Reagor,WR,0,0,9,8,True,Player not drafted. Set keeper cost to 8 round
gnemos,K.J. Osborn,WR,0,0,9,8,True,Player not drafted. Set keeper cost to 8 round
gnemos,Kenneth Gainwell,RB,0,0,15,14,True,
gnemos,Mark Ingram,RB,0,0,9,8,True,Player not drafted. Set keeper cost to 8 round
gnemos,Denver Broncos,DEF,0,0,10,9,False,Ineligible. Added after trade deadline.
