Owner,Player,Position,Old Years Kept,New Years Kept,Draft Round 2020,Keeper Cost 2021,Eligible,Note
jtcoleman13,Jerick McKinnon,RB,0,0,13,12,True,
jtcoleman13,Malcolm Brown,RB,0,0,9,8,True,Player not drafted. Set keeper cost to 8 round
jtcoleman13,Jared Goff,QB,0,0,7,6,True,
jtcoleman13,Ryan Fitzpatrick,QB,0,0,12,11,True,
jtcoleman13,Leonard Fournette,RB,0,0,3,2,True,
jtcoleman13,Cooper Kupp,WR,1,1,4,3,True,
jtcoleman13,Evan Engram,TE,0,0,8,7,True,
jtcoleman13,Matthew Stafford,QB,0,0,5,4,True,
jtcoleman13,Saquon Barkley,RB,0,0,1,0,False,Ineligible. Drafted in first round.
jtcoleman13,Christian Kirk,WR,0,0,9,8,True,
jtcoleman13,Kalen Ballage,RB,0,0,9,8,True,Player not drafted. Set keeper cost to 8 round
jtcoleman13,Russell Gage,WR,0,0,16,15,True,
jtcoleman13,Emmanuel Sanders,WR,0,0,10,9,True,
jtcoleman13,Marquise Brown,WR,1,1,14,13,True,
jtcoleman13,Noah Fant,TE,0,0,15,14,True,
jtcoleman13,Julio Jones,WR,0,0,2,1,True,
jtcoleman13,Minnesota Vikings,DEF,0,0,15,14,True,
RazorMuffin,Zach Ertz,TE,0,0,5,4,True,
RazorMuffin,Adrian Peterson,RB,0,0,14,13,True,
RazorMuffin,Joe Flacco,QB,0,0,9,8,True,Player not drafted. Set keeper cost to 8 round
RazorMuffin,Brandin Cooks,WR,0,0,7,6,True,
RazorMuffin,Larry Fitzgerald,WR,0,0,9,8,True,Player not drafted. Set keeper cost to 8 round
RazorMuffin,Tyreek Hill,WR,0,0,2,1,True,
RazorMuffin,Alvin Kamara,RB,0,0,1,0,False,Ineligible. Drafted in first round.
RazorMuffin,Kareem Hunt,RB,0,0,6,5,True,
RazorMuffin,Mark Andrews,TE,0,0,4,3,True,
RazorMuffin,Michael Gallup,WR,1,1,10,9,False,Ineligible. Added after trade deadline.
RazorMuffin,Kyle Allen,QB,0,0,9,8,True,Player not drafted. Set keeper cost to 8 round
RazorMuffin,Phillip Lindsay,RB,0,0,9,8,True,
RazorMuffin,Darrell Henderson,RB,0,0,13,12,True,
RazorMuffin,Jerry Jeudy,WR,0,0,11,10,True,
RazorMuffin,Randall Cobb,WR,0,0,9,8,True,Player not drafted. Set keeper cost to 8 round
RazorMuffin,Aaron Rodgers,QB,0,0,3,2,True,
RazorMuffin,Pittsburgh Steelers,DEF,0,0,12,11,True,
